UGA.Sample.ID	Run.ID	File.Name
208	HKMLKDRXX	HKMLKDRXX_l01_A1_10___208_R1
209	HKMLKDRXX	HKMLKDRXX_l01_A1_11___209_R1
253	HKMLKDRXX	HKMLKDRXX_l01_A1_12___253_R1
014	HKMLKDRXX	HKMLKDRXX_l01_A1_13___14_R1
118	HKMLKDRXX	HKMLKDRXX_l01_A1_14___118_R1
149	HKMLKDRXX	HKMLKDRXX_l01_A1_15___149_R1
185	HKMLKDRXX	HKMLKDRXX_l01_A1_16___185_R1
290	HKMLKDRXX	HKMLKDRXX_l01_A1_17___290_R1
304	HKMLKDRXX	HKMLKDRXX_l01_A1_18___304_R1
311	HKMLKDRXX	HKMLKDRXX_l01_A1_19___311_R1
077	HNVCKDRXX	HNVCKDRXX_l02_B2_1___77_R1
124	HKMLKDRXX	HKMLKDRXX_l01_A1_2___124_R1
125	HKMLKDRXX	HKMLKDRXX_l01_A1_3___125_R1
135	HKMLKDRXX	HKMLKDRXX_l01_A1_4___135_R1
146	HKMLKDRXX	HKMLKDRXX_l01_A1_5___146_R1
148	HKMLKDRXX	HKMLKDRXX_l01_A1_6___148_R1
422	HKMLKDRXX	HKMLKDRXX_l01_A1_73___422_R1
262	HKMLKDRXX	HKMLKDRXX_l01_A1_74___262_R1
001	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_2_R1
402	HKMLKDRXX	HKMLKDRXX_l01_A1_79___402_R1
169	HKMLKDRXX	HKMLKDRXX_l01_A1_7___169_R1
405	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_17_R1
170	HKMLKDRXX	HKMLKDRXX_l01_A1_8___170_R1
177	HKMLKDRXX	HKMLKDRXX_l01_A1_9___177_R1
314	HKMLKDRXX	HKMLKDRXX_l02_A2_20___314_R1
317	HKMLKDRXX	HKMLKDRXX_l02_A2_21___317_R1
321	HKMLKDRXX	HKMLKDRXX_l02_A2_22___321_R1
331	HKMLKDRXX	HKMLKDRXX_l02_A2_23___331_R1
332	HKMLKDRXX	HKMLKDRXX_l02_A2_24___332_R1
047	HNVCKDRXX	HNVCKDRXX_l02_B2_25___47_R1
278	HNVCKDRXX	HNVCKDRXX_l02_B2_28___278_R1
279	HKMLKDRXX	HKMLKDRXX_l02_A2_29___279_R1
281	HNVCKDRXX	HNVCKDRXX_l02_B2_30___281_R1
286	HNVCKDRXX	HNVCKDRXX_l02_B2_31___286_R1
287	HKMLKDRXX	HKMLKDRXX_l02_A2_32___287_R1
296	HKMLKDRXX	HKMLKDRXX_l02_A2_33___296_R1
297	HNVCKDRXX	HNVCKDRXX_l02_B2_34___297_R1
298	HKMLKDRXX	HKMLKDRXX_l02_A2_35___298_R1
302	HNVCKDRXX	HNVCKDRXX_l02_B2_36___302_R1
022	HKMLKDRXX	HKMLKDRXX_l02_A2_37___22_R1
055	HKMLKDRXX	HKMLKDRXX_l02_A2_38___55_R1
058	HKMLKDRXX	HKMLKDRXX_l02_A2_39___58_R1
385	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_10_R1
438	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_11_R1
086	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_12_R1
318	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_13_R1
064	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_14_R1
392	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_15_R1
051	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_16_R1
384	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_18_R1
225	HKVNYDRXX	HKVNYDRXX_l01_Emily__1_19_R1
